        Epoch 1:        Loss 1.6100     TrainAcc 0.2003 ValidAcc 0.2007 TestAcc 0.1979  BestValid 0.2007
        Epoch 4500:     Loss 0.5905     TrainAcc 0.7909 ValidAcc 0.4874 TestAcc 0.4899  BestValid 0.4874
        Epoch 4550:     Loss 0.5641     TrainAcc 0.7909 ValidAcc 0.4814 TestAcc 0.4928  BestValid 0.4874
        Epoch 4600:     Loss 0.5751     TrainAcc 0.7812 ValidAcc 0.4748 TestAcc 0.4736  BestValid 0.4874
        Epoch 4650:     Loss 0.5915     TrainAcc 0.6983 ValidAcc 0.4255 TestAcc 0.4284  BestValid 0.4874
        Epoch 4700:     Loss 0.5729     TrainAcc 0.7512 ValidAcc 0.4591 TestAcc 0.4573  BestValid 0.4874
        Epoch 4750:     Loss 0.5977     TrainAcc 0.7708 ValidAcc 0.4597 TestAcc 0.4640  BestValid 0.4874
        Epoch 4800:     Loss 0.5544     TrainAcc 0.7524 ValidAcc 0.4603 TestAcc 0.4736  BestValid 0.4874
        Epoch 4850:     Loss 0.5601     TrainAcc 0.7716 ValidAcc 0.4712 TestAcc 0.4755  BestValid 0.4874
        Epoch 4900:     Loss 0.5808     TrainAcc 0.7280 ValidAcc 0.4417 TestAcc 0.4553  BestValid 0.4874
        Epoch 4950:     Loss 0.5668     TrainAcc 0.7608 ValidAcc 0.4543 TestAcc 0.4592  BestValid 0.4874
        Epoch 5000:     Loss 0.5698     TrainAcc 0.7123 ValidAcc 0.4387 TestAcc 0.4352  BestValid 0.4874
*
